date,Site,SO2,NOx,TSP
5月14日,操场,10,1,23.5
5月15日,操场,4.42,19.1,17.8
5月16日,操场,11.489,32.8,107
5月17日,操场,2,31,57.6
5月18日,操场,,,
5月14日,大东门,0.366,50,65.73
5月15日,大东门,3.789,27.646,80.909
5月16日,大东门,4.3,22.3,120.1
5月17日,大东门,2,84,359.996
5月18日,大东门,9.9658,45.537,82.013
5月14日,二号楼1楼,0.032,7,31
5月15日,二号楼1楼,2.872,12.514,46.421
5月16日,二号楼1楼,6.67,5.33,21.5
5月17日,二号楼1楼,19.7,25.9,33.3
5月14日,理工楼13楼,9.1835,2.3,86.111
5月15日,理工楼13楼,25.1,19.72,19
5月16日,理工楼13楼,0.098,3.3,23
5月17日,理工楼13楼,,,
5月18日,理工楼13楼,2.76,17.01,19.442
5月14日,理工楼14楼,0.2421,0.0237,33.34
5月15日,理工楼14楼,10.781,14.424,24.0781
5月16日,理工楼14楼,3.832,8.366,30.802
5月17日,理工楼14楼,2,19,20.372
5月18日,理工楼14楼,,,
5月14日,理工楼1楼,,50.12,19
5月15日,理工楼1楼,102.67,29.33,64.08
5月16日,理工楼1楼,9.68,11.7598,34.928
5月17日,理工楼1楼,20,27,123.4
5月18日,理工楼1楼,2.647,22.69,38
5月17日,图书馆6楼,22.3,10.8,20.3
5月14日,图书馆6楼,3.8,10.27,9.2
5月15日,图书馆6楼,0.973,10.005,
5月16日,图书馆6楼,7.6,4.56,31
5月14日,西门,0.487,9.3,32.385
5月17日,西门,2,80,6
5月18日,操场,0.7057,40.5,22
5月15日,西门,0.935,11.98,45
5月16日,西门,4.1,17.8,17.73
5月17日,西门,,,
5月18日,西门,5,25,64.86